Job ID,Job Term,Job URL,Job Card Text,Pay Info Text,Job Attributes Text,Job Card Screenshot,Pay Info Screenshot,Job Attributes Screenshot,Job Details Screenshot
1,Data Engineer,https://www.linkedin.com/jobs/view/data-engineer-l5-games-at-netflix-4313842380?position=1&pageNum=0&refId=ToKii4B4zV3w5%2BQRv25DCQ%3D%3D&trackingId=7w8ztl1ydQKaLcfPnQp%2FuA%3D%3D,"
        

        
          
          
              
        
        Data Engineer (L5) - Games
      
      
          
        

      
        
    
        
      
  
    
  

        
      ...","

          
            Pay found in job post
          


      
        
      
        Retrieved from the description.
      

          
            Base pay range
            
  
  
  
  
  
  
...","
        
          
            Seniority level
          
          
            Not Applicable
          
        
        
          
            Employment type
          
          
            ...",data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\job_card_1.png,data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\pay_info_Job_1.png,data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\job_attributes_Job_1.png,
2,Data Engineer,https://www.linkedin.com/jobs/search/?keywords=Data%20Engineer&location=United%20States&f_TPR=r86400&currentJobId=4316568842&position=2&pageNum=0,"
        

        
          
          
              
        
        Data Engineer II
      
      
          
        

      
        
    
        
      
  
    
  

        
          
     ...","

          
            Pay found in job post
          


      
        
      
        Retrieved from the description.
      

          
            Base pay range
            
  
  
  
  
  
  
...","
        
          
            Seniority level
          
          
            Not Applicable
          
        
        
          
            Employment type
          
          
            ...",data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\job_card_2.png,data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\pay_info_Job_2.png,data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\job_attributes_Job_2.png,
3,Data Engineer,https://www.linkedin.com/jobs/search/?keywords=Data%20Engineer&location=United%20States&f_TPR=r86400&currentJobId=4296641686&position=3&pageNum=0,"
        

        
          
          
              
        
        Software Engineer, Fullstack, Early Career
      
      
          
        

      
        
    
        
      
  
    
  
...","

          
            Pay found in job post
          


      
        
      
        Retrieved from the description.
      

          
            Base pay range
            
  
  
  
  
  
  
...","
        
          
            Seniority level
          
          
            Entry level
          
        
        
          
            Employment type
          
          
            Ful...",data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\job_card_3.png,data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\pay_info_Job_3.png,data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\job_attributes_Job_3.png,
4,Data Engineer,https://www.linkedin.com/jobs/search/?keywords=Data%20Engineer&location=United%20States&f_TPR=r86400&currentJobId=4296646591&position=4&pageNum=0,"
        

        
          
          
              
        
        Software Engineer, Fullstack, Early Career
      
      
          
        

      
        
    
        
      
  
    
  
...","

          
            Pay found in job post
          


      
        
      
        Retrieved from the description.
      

          
            Base pay range
            
  
  
  
  
  
  
...","
        
          
            Seniority level
          
          
            Entry level
          
        
        
          
            Employment type
          
          
            Ful...",data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\job_card_4.png,data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\pay_info_Job_4.png,data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\job_attributes_Job_4.png,
5,Data Engineer,https://www.linkedin.com/jobs/search/?keywords=Data%20Engineer&location=United%20States&f_TPR=r86400&currentJobId=4306275986&position=5&pageNum=0,"
        

        
          
          
              
        
        Data Engineer
      
      
          
        

      
        
    
        
      
  
    
  

        
          
        ...","

          
            Pay found in job post
          


      
        
      
        Retrieved from the description.
      

          
            Base pay range
            
  
  
  
  
  
  
...","
        
          
            Seniority level
          
          
            Entry level
          
        
        
          
            Employment type
          
          
            Ful...",data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\job_card_5.png,data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\pay_info_Job_5.png,data/raw/linkedin_screenshots/linkedin_screenshots_20251018_090757\job_attributes_Job_5.png,
